Vetor,Tipo,Algoritmo,Tempo (s),±Tempo (s),Comparações,±Comparações,Memória (MB),Tamanho
Vetor não ordenado,Existente,Sequencial,2.6e-05,±0.000014,51085.14,±28942.40,4.54,100k
Vetor não ordenado,Existente,Sequencial,4.8e-05,±0.000000,100000.0,±0.00,4.54,100k
Vetor não ordenado,Existente,Sentinela,1.3e-05,±0.000007,51084.14,±28942.40,4.54,100k
Vetor não ordenado,Existente,Sentinela,3.2e-05,±0.000010,99999.0,±0.00,4.54,100k
Vetor ordenado,Existente,Sequencial,2.5e-05,±0.000015,50368.61,±29358.89,4.54,100k
Vetor ordenado,Existente,Sequencial,4.9e-05,±0.000003,100000.0,±0.00,4.54,100k
Vetor ordenado,Existente,Sequencial Otimizada,2.6e-05,±0.000015,50368.61,±29358.89,4.54,100k
Vetor ordenado,Existente,Sequencial Otimizada,5.3e-05,±0.000013,100000.0,±0.00,4.54,100k
Vetor ordenado,Existente,Binária,1e-06,±0.000000,15.71,±1.47,4.54,100k
Vetor ordenado,Existente,Binária,1e-06,±0.000000,17.0,±0.00,4.54,100k
Vetor não ordenado,Existente,Sequencial,5e-05,±0.000028,101550.35,±57007.11,3.42,200k
Vetor não ordenado,Existente,Sequencial,9.6e-05,±0.000002,200000.0,±0.00,3.42,200k
Vetor não ordenado,Existente,Sentinela,2.6e-05,±0.000015,101549.35,±57007.11,3.42,200k
Vetor não ordenado,Existente,Sentinela,5e-05,±0.000002,199999.0,±0.00,3.42,200k
Vetor ordenado,Existente,Sequencial,6.5e-05,±0.000040,99484.99,±56458.84,3.42,200k
Vetor ordenado,Existente,Sequencial,0.00015,±0.000008,200000.0,±0.00,3.42,200k
Vetor ordenado,Existente,Sequencial Otimizada,4.9e-05,±0.000028,99484.99,±56458.84,3.42,200k
Vetor ordenado,Existente,Sequencial Otimizada,9.7e-05,±0.000003,200000.0,±0.00,3.42,200k
Vetor ordenado,Existente,Binária,1e-06,±0.000000,16.72,±1.43,3.42,200k
Vetor ordenado,Existente,Binária,1e-06,±0.000000,18.0,±0.00,3.42,200k
Vetor não ordenado,Existente,Sequencial,7.2e-05,±0.000043,147330.33,±87004.01,5.7,300k
Vetor não ordenado,Existente,Sequencial,0.000146,±0.000004,300000.0,±0.00,5.7,300k
Vetor não ordenado,Existente,Sentinela,3.8e-05,±0.000022,147329.33,±87004.01,5.7,300k
Vetor não ordenado,Existente,Sentinela,7.5e-05,±0.000002,299999.0,±0.00,5.7,300k
Vetor ordenado,Existente,Sequencial,7.8e-05,±0.000048,147981.08,±86064.35,5.7,300k
Vetor ordenado,Existente,Sequencial,0.000148,±0.000008,300000.0,±0.00,5.7,300k
Vetor ordenado,Existente,Sequencial Otimizada,7.2e-05,±0.000042,147981.08,±86064.35,5.7,300k
Vetor ordenado,Existente,Sequencial Otimizada,0.000148,±0.000007,300000.0,±0.00,5.7,300k
Vetor ordenado,Existente,Binária,1e-06,±0.000001,17.21,±1.48,5.7,300k
Vetor ordenado,Existente,Binária,1e-06,±0.000000,19.0,±0.00,5.7,300k
Vetor não ordenado,Existente,Sequencial,0.000105,±0.000065,202177.27,±117735.65,6.0,400k
Vetor não ordenado,Existente,Sequencial,0.000198,±0.000010,400000.0,±0.00,6.0,400k
Vetor não ordenado,Existente,Sentinela,5.2e-05,±0.000030,202176.27,±117735.65,6.0,400k
Vetor não ordenado,Existente,Sentinela,9.9e-05,±0.000001,399999.0,±0.00,6.0,400k
